Country,Population,Area km2,Density km-2
Afghanistan,38928346,652230,59.68
Albania,2877797,28748,100.1
Algeria,43851044,2381741,18.41
American Samoa,55191,199,277.34
Andorra,77265,468,165.1
Angola,32866272,1246700,26.36
Anguilla,15003,91,164.87
Antigua And Barbuda,97929,442,221.56
Argentina,45195774,2780400,16.26
Armenia,2963243,29743,99.63
Aruba,106766,180,593.14
Australia,25499884,7692024,3.32
Austria,9006398,83871,107.38
Azerbaijan,10139177,86600,117.08
Bahamas,393244,13943,28.2
Bahrain,1701575,765,2224.28
Bangladesh,164689383,147570,1116.01
Barbados,287375,430,668.31
Belarus,9449323,207600,45.52
Belgium,11589623,30528,379.64
Belize,397628,22966,17.31
Benin,12123200,112622,107.65
Bermuda,62278,54,1153.3
Bhutan,771608,38394,20.1
Bolivia,11673021,1098581,10.63
Bosnia And Herzegovina,3280819,51209,64.07
Botswana,2351627,582000,4.04
Brazil,212559417,8515767,24.96
British Virgin Islands,30231,151,200.21
Brunei,437479,5765,75.89
Bulgaria,6948445,110879,62.67
Burkina Faso,20903273,272967,76.58
Burundi,11890784,27834,427.2
Cambodia,16718965,181035,92.35
Cameroon,26545863,475442,55.83
Canada,37742154,9984670,3.78
Cape Verde,555987,4033,137.86
Cayman Islands,65722,264,248.95
Central African Republic,4829767,622984,7.75
Chad,16425864,1284000,12.79
Chile,19116201,756102,25.28
China,1439323776,9706961,148.28
Colombia,50882891,1141748,44.57
Comoros,869601,1862,467.03
Cook Islands,17564,236,74.42
Costa Rica,5094118,51100,99.69
Croatia,4105267,56594,72.54
Cuba,11326616,109884,103.08
Curacao,164093,444,369.58
Cyprus,1207359,9251,130.51
Czech Republic,10708981,78865,135.79
Denmark,5792202,43094,134.41
Djibouti,988000,23200,42.59
Dominica,71986,751,95.85
Dominican Republic,10847910,48671,222.88
Dr Congo,89561403,2344858,38.19
Ecuador,17643054,276841,63.73
Egypt,102334404,1002450,102.08
El Salvador,6486205,21041,308.27
Equatorial Guinea,1402985,28051,50.02
Eritrea,3546421,117600,30.16
Estonia,1326535,45227,29.33
Ethiopia,114963588,1104300,104.11
Falkland Islands,3480,12173,0.29
Faroe Islands,48863,1393,35.08
Fiji,896445,18272,49.06
Finland,5540720,338424,16.37
France,65273511,551695,118.31
French Guiana,298682,83534,3.58
French Polynesia,280908,4167,67.41
Gabon,2225734,267668,8.32
Gambia,2416668,10689,226.09
Georgia,3989167,69700,57.23
Germany,83783942,357114,234.61
Ghana,31072940,238533,130.27
Gibraltar,33691,6,5615.17
Greece,10423054,131990,78.97
Greenland,56770,2166086,0.03
Grenada,112523,344,327.1
Guadeloupe,400124,1628,245.78
Guam,168775,549,307.42
Guatemala,17915568,108889,164.53
Guinea,13132795,245857,53.42
Guinea Bissau,1968001,36125,54.48
Guyana,786552,214969,3.66
Haiti,11402528,27750,410.9
Honduras,9904607,112492,88.05
Hong Kong,7496981,1104,6790.74
Hungary,9660351,93028,103.84
Iceland,341243,103000,3.31
India,1380004385,3287590,419.76
Indonesia,273523615,1904569,143.61
Iran,83992949,1648195,50.96
Iraq,40222493,438317,91.77
Ireland,4937786,70273,70.27
Isle Of Man,85033,572,148.66
Israel,8655535,20770,416.73
Italy,60461826,301336,200.65
Ivory Coast,26378274,322463,81.8
Jamaica,2961167,10991,269.42
Japan,126476461,377930,334.66
Jordan,10203134,89342,114.2
Kazakhstan,18776707,2724900,6.89
Kenya,53771296,580367,92.65
Kiribati,119449,811,147.29
Kuwait,4270571,17818,239.68
Kyrgyzstan,6524195,199951,32.63
Laos,7275560,236800,30.72
Latvia,1886198,64559,29.22
Lebanon,6825445,10452,653.03
Lesotho,2142249,30355,70.57
Liberia,5057681,111369,45.41
Libya,6871292,1759540,3.91
Liechtenstein,38128,160,238.3
